Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count
8127,4,11,64637.0,1714613.0,84,846
8128,16,17,1269545.0,2395305.0,1009,1565
8132,6,14,13171.0,1643491.0,24,1379
8138,7,6,221477.0,871848.0,124,311
8152,15,32,139610.0,2146686.0,55,1468
8154,9,17,167479.0,2542162.0,80,614
8157,12,17,104508.0,1973164.0,76,1975
8183,9,11,38095.0,345112.0,178,529
8193,7,11,309122.0,1950346.0,46,616
8202,8,18,216970.0,2701092.0,286,2793
8205,10,14,35806.0,438086.0,178,791
848,9,21,57856.0,496667.0,94,960
8221,3,15,29383.0,4696593.0,6,402
8230,9,20,101045.0,177466.0,258,464
1248,10,30,7461.0,770137.0,50,1367
850,10,20,133398.0,2814071.0,128,2133
8254,7,21,24453.0,575730.0,26,955
8269,7,5,1536139.0,663839.0,2586,244
8273,5,11,39354.0,563132.0,34,403
8280,6,13,314179.0,2337499.0,134,1347
8286,5,12,79529.0,1328356.0,87,891
8290,13,15,354145.0,942659.0,621,851
8303,6,13,2034433.0,4689496.0,1966,890
8314,3,9,3378614.0,1448135.0,72,964
8331,9,17,50634.0,3794822.0,37,2523
8334,5,19,8373835.0,2550523.0,178,1479
8337,10,15,50388.0,412669.0,37,628
8343,7,11,64469.0,538126.0,326,482
855,10,28,1403963.0,2742048.0,779,1769
8348,9,8,150613.0,3477145.0,39,350
8350,2,14,20758.0,638742.0,21,375
8365,13,15,3965034.0,1214194.0,3016,1036
8375,7,17,27284.0,950256.0,48,1571
8387,7,18,2502831.0,4220720.0,344,1081
8400,9,11,926775.0,7833942.0,413,356
8410,6,10,72860.0,3051369.0,30,825
8411,12,26,240033.0,3052992.0,310,1041
8422,9,14,153560.0,2782264.0,24,766
8434,7,22,60164.0,2410347.0,84,1777
8462,8,17,150406.0,907962.0,220,803
8476,4,15,173803.0,1803260.0,27,843
857,9,19,182222.0,2098497.0,116,1448
8496,16,24,2156213.0,1641916.0,509,1308
1252,8,14,70138.0,1031113.0,27,603
8507,7,13,9444.0,125851.0,16,101
