Source Target Total Count
165 14544 425.0 2
165 1868 168.0 1
165 1880 82.0 1
165 2062 6.0 1
165 2089 88.0 3
165 2140 59.0 2
165 2206 73.0 3
165 2728 2.0 1
165 2759 82.0 2
165 2828 7.0 1
165 2915 13.0 2
165 780 35.0 1
165 3148 76.0 3
165 3219 18.0 1
165 3228 125.0 5
165 3343 165.0 2
165 14203 172.0 2
165 3400 396.0 2
165 3435 21.0 1
165 3664 2.0 1
165 3760 426.0 1
165 3868 41.0 4
165 794 30.0 1
165 14598 1198.0 5
165 3998 9.0 1
165 4020 44.0 1
165 4166 49.0 1
165 4238 720.0 4
165 14614 72.0 2
165 14617 167.0 1
165 801 248.0 3
165 4487 25.0 1
165 4768 5.0 1
165 4800 23.0 1
165 4883 11.0 1
165 4902 10.0 1
165 4903 24.0 1
165 5021 16.0 1
165 952 64.0 1
165 5287 15.0 1
165 5314 166.0 1
165 5562 514.0 1
165 5679 5.0 1
165 5794 130.0 2
165 5911 9.0 1
165 14661 20.0 3
165 6045 5.0 1
165 14662 25.0 1
165 6358 24.0 1
165 6483 225.0 2
165 14677 104.0 1
165 6554 94.0 1
165 6627 28.0 2
165 6628 48.0 1
165 6829 639.0 3
165 14693 121.0 2
165 7084 4.0 1
165 965 567.0 3
165 7195 909.0 1
165 7197 67.0 1
165 7293 16.0 2
165 7325 282.0 2
165 7328 139.0 2
165 7358 332.0 2
165 7391 94.0 1
165 7503 476.0 4
165 7600 151.0 1
165 7698 11.0 1
165 14708 14.0 1
165 14709 29.0 2
165 7949 1981.0 1
165 8047 69.0 2
165 8157 31.0 2
165 8193 116.0 2
165 8334 20.0 1
165 8375 13.0 1
165 8387 42.0 1
165 8400 321.0 1
165 14728 132.0 1
165 14730 17.0 1
165 14733 38.0 1
165 8594 93.0 7
165 8638 63.0 1
165 14740 41.0 1
165 8758 23.0 1
165 8871 99.0 1
165 8948 547.0 3
165 8957 972.0 2
165 1274 381.0 1
165 9436 15.0 3
165 9481 26.0 1
165 9770 162.0 4
165 9794 15.0 1
165 9842 1751.0 1
165 10030 20.0 1
165 877 78.0 4
165 10281 2712.0 2
165 10317 7.0 1
165 10354 329.0 1
165 10658 273.0 3
165 14790 234.0 3
165 10795 1259.0 3
165 10956 17.0 1
165 11010 10.0 1
