Id,in_degree,out_degree,in_strength_total,out_strength_total,in_strength_count,out_strength_count,cluster
1073291,0,1,0.0,2975.0,0,4,0
1597605,0,1,0.0,14760.0,0,1,0
1171628,0,2,0.0,102379.0,0,172,0
43141,1,0,55517.0,0.0,93,0,0
843956,0,1,0.0,2100.0,0,1,0
1401027,0,1,0.0,33.0,0,1,0
417994,0,2,0.0,1658.0,0,4,0
1597708,0,1,0.0,185.0,0,7,0
778509,0,1,0.0,143531.0,0,18,0
745757,0,1,0.0,975.0,0,1,0
942368,0,1,0.0,863.0,0,1,0
483653,0,1,0.0,14054.0,0,111,0
492809,1,0,816.0,0.0,1,0,0
1270138,0,1,0.0,7895.0,0,2,0
1007996,0,1,0.0,4128.0,0,7,0
485220,1,0,4750.0,0.0,1,0,0
485235,1,0,175.0,0.0,1,0,0
876968,0,1,0.0,2930.0,0,1,0
1106356,0,1,0.0,65.0,0,1,0
1106363,0,1,0.0,1138.0,0,1,0
156102,0,1,0.0,96.0,0,1,0
745956,0,1,0.0,3435.0,0,9,0
516596,0,5,0.0,3715.0,0,6,0
156180,0,1,0.0,1230.0,0,1,0
320041,1,3,1933.0,37367.0,4,78,0
811569,0,1,0.0,848.0,0,1,0
778823,0,1,0.0,158.0,0,2,0
1499736,0,1,0.0,714.0,0,2,0
778842,0,1,0.0,13198.0,0,36,0
942684,0,1,0.0,4000.0,0,4,0
1532508,0,1,0.0,2244.0,0,11,0
1139295,0,1,0.0,142.0,0,6,0
468864,2,0,426.0,0.0,18,0,0
1466975,0,1,0.0,487.0,0,3,0
713321,0,1,0.0,84.0,0,1,0
1204841,0,2,0.0,8195.0,0,18,0
811634,0,2,0.0,26912.0,0,85,0
568702,1,0,36227.0,0.0,12,0,0
942718,0,3,0.0,24684.0,0,14,0
1237640,0,1,0.0,53.0,0,1,0
1335959,0,1,0.0,201.0,0,1,0
844441,0,1,0.0,242.0,0,1,0
811679,0,1,0.0,50.0,0,1,0
