,in_degree,out_degree,in_strength_total,out_strength_total,label
918,1,0,19,0,0
919,1,1,618,266974,0
920,1,0,5756,0,0
921,1,0,1144,0,0
922,1,0,7135,0,0
923,3,4,120048,256122,1
924,1,0,5031,0,0
925,1,0,6750,0,0
926,1,0,8279,0,0
927,1,0,317,0,0
928,1,0,214873,0,0
929,1,0,3841890,0,0
930,1,0,1981,0,0
931,1,0,460,0,0
932,1,0,49,0,0
933,1,0,253,0,0
934,1,0,80,0,0
935,1,0,17016,0,0
936,1,0,4139,0,0
937,1,0,2428,0,0
938,1,0,2783,0,0
939,1,0,399,0,0
940,1,0,301,0,0
941,1,0,2878,0,0
942,1,0,13208,0,0
943,1,0,2716,0,0
944,1,0,223,0,0
945,1,0,400,0,0
946,1,0,1539,0,0
947,1,0,1365,0,0
948,1,0,646,0,0
949,1,0,9448,0,0
950,1,0,12607,0,0
951,1,0,18,0,0
952,1,0,106,0,0
953,1,0,10423,0,0
954,1,0,3418,0,0
955,1,0,25,0,0
956,1,0,1420,0,0
957,1,0,180,0,0
958,1,0,11416,0,0
959,1,0,672,0,0
960,1,0,18026,0,0
961,1,0,2575,0,0
962,7,0,17042,0,0
963,1,0,4027,0,0
964,1,0,220,0,0
965,1,0,36421,0,0
966,1,0,1100,0,0
967,1,0,1674,0,0
968,1,0,24309,0,0
969,1,0,54,0,0
970,1,0,120688,0,0
971,1,0,447,0,0
972,1,0,2457,0,0
973,1,0,2417,0,0
974,1,0,110,0,0
975,1,0,10454,0,0
976,1,0,1886,0,0
977,1,0,10343,0,0
978,1,0,12,0,0
979,1,0,1722,0,0
980,1,0,2360,0,0
981,1,0,542,0,0
982,1,0,1661,0,0
983,1,0,851,0,0
984,1,0,4959,0,0
985,1,0,0,0,0
986,1,0,446,0,0
987,1,0,983,0,0
988,1,0,34063,0,0
989,1,0,12,0,0
990,1,0,3920,0,0
991,1,0,106002,0,0
992,1,0,1530,0,0
993,1,0,2808,0,0
994,1,0,4667,0,0
995,1,0,141265,0,0
996,1,0,21660,0,0
997,1,0,20592,0,0
998,1,0,101760,0,0
999,1,0,23,0,0
1000,1,0,18,0,0
1001,1,0,11131,0,0
1002,1,0,26363,0,0
1003,1,0,14541,0,0
1004,2,1,7519,98808,1
1005,1,0,161791,0,0
1006,1,0,56,0,0
1007,1,0,126,0,0
1008,1,0,192462,0,0
1009,1,0,4,0,0
1010,1,0,4188,0,0
1011,1,0,531,0,0
1012,1,0,740,0,0
1013,1,0,220,0,0
1014,1,0,1276,0,0
1015,1,0,49,0,0
1016,1,0,3368,0,0
1017,1,0,16451,0,0
1018,1,0,394649,0,0
1019,1,0,13,0,0
1020,1,0,1038,0,0
1021,1,0,1064,0,0
1022,1,0,18841,0,0
1023,1,0,52,0,0
1024,1,0,16,0,0
1025,1,0,297,0,0
1026,1,0,479,0,0
1027,1,0,12531,0,0
1028,1,0,81,0,0
1029,1,0,33,0,0
1030,1,0,321,0,0
1031,1,0,2325,0,0
1032,1,0,1438,0,0
1033,1,0,701,0,0
1034,1,0,9508,0,0
1035,1,0,205,0,0
1036,1,0,25574,0,0
1037,1,0,771,0,0
1038,1,0,382,0,0
1039,1,0,276,0,0
1040,1,0,5917,0,0
1041,1,1,419,5422,0
1042,1,0,1133,0,0
1043,1,0,237,0,0
1044,1,0,433,0,0
1045,1,0,939,0,0
1046,1,0,137899,0,0
1047,1,0,34905,0,0
1048,1,0,155,0,0
1049,1,0,36040,0,0
1050,1,0,3319,0,0
1051,1,0,2893,0,0
1052,1,0,157,0,0
1053,1,0,22501,0,0
1054,1,0,49086,0,0
1055,2,0,3017,0,0
1056,1,0,1248,0,0
1057,1,0,535,0,0
1058,1,0,904,0,0
1059,2,0,22128,0,0
1060,2,8,10448,192908,0
1061,1,0,3641,0,0
1062,1,0,29503,0,0
1063,2,1,3170,6942,0
1064,1,1,14,235,0
1065,1,0,54391,0,0
1066,1,0,954,0,0
1067,1,0,164339,0,0
1068,1,0,3680,0,0
1069,1,1,136,65344,0
1070,68,0,1826745,0,0
1071,1,0,833,0,0
1072,1,0,2866,0,0
1073,1,0,419,0,0
1074,1,0,113,0,0
1075,1,0,537,0,0
1076,1,0,133060,0,0
1077,1,0,778,0,0
1078,1,0,3538,0,0
1079,1,0,576,0,0
1080,1,0,203,0,0
1081,1,0,46823,0,0
1082,1,0,83,0,0
1083,1,0,1012,0,0
1084,1,0,8987,0,0
1085,1,0,18554,0,0
1086,1,0,58306,0,0
1087,1,0,1334,0,0
